Month,Year,Precipitacion,Temp_Media,Flujo,Chapala,Calderon,Pozos,Manantiales,Total,PorcenChap,PorcenCal,PorcenPozo,PorcenMana,Poblacion_ZMG
4,2019,0.1,21.8,10.17,15670226.3333333,3316199.41666667,7187596.58333333,318038.833333333,26492061.1666667,0.591506498295807,0.125177101011651,0.271311338823913,0.0120050618686289,5136832
5,2019,6,24.2,9.92,15670226.3333333,3316199.41666667,7187596.58333333,318038.833333333,26492061.1666667,0.591506498295807,0.125177101011651,0.271311338823913,0.0120050618686289,5136832
6,2019,96.3,25.4,9.61,15670226.3333333,3316199.41666667,7187596.58333333,318038.833333333,26492061.1666667,0.591506498295807,0.125177101011651,0.271311338823913,0.0120050618686289,5136832
7,2019,217.7,23.5,9.38,15670226.3333333,3316199.41666667,7187596.58333333,318038.833333333,26492061.1666667,0.591506498295807,0.125177101011651,0.271311338823913,0.0120050618686289,5136832
8,2019,171.7,23.6,9.17,15670226.3333333,3316199.41666667,7187596.58333333,318038.833333333,26492061.1666667,0.591506498295807,0.125177101011651,0.271311338823913,0.0120050618686289,5136832
9,2019,239.8,23.1,9.21,15670226.3333333,3316199.41666667,7187596.58333333,318038.833333333,26492061.1666667,0.591506498295807,0.125177101011651,0.271311338823913,0.0120050618686289,5136832
10,2019,128.6,22.4,9.45,15670226.3333333,3316199.41666667,7187596.58333333,318038.833333333,26492061.1666667,0.591506498295807,0.125177101011651,0.271311338823913,0.0120050618686289,5136832
11,2019,50.5,21.1,9.62,15670226.3333333,3316199.41666667,7187596.58333333,318038.833333333,26492061.1666667,0.591506498295807,0.125177101011651,0.271311338823913,0.0120050618686289,5136832
12,2019,6.1,18.5,9.58,15670226.3333333,3316199.41666667,7187596.58333333,318038.833333333,26492061.1666667,0.591506498295807,0.125177101011651,0.271311338823913,0.0120050618686289,5136832
1,2020,49.8,17.8,9.52,16612739.8333333,3405461.91666667,6574442.58333333,393119.583333333,26985763.9166667,0.615611249125067,0.126194756879327,0.243626328446196,0.0145676655494099,5268642
2,2020,55.6,19.5,9.81,16612739.8333333,3405461.91666667,6574442.58333333,393119.583333333,26985763.9166667,0.615611249125067,0.126194756879327,0.243626328446196,0.0145676655494099,5268642
3,2020,1.1,22.4,10.12,16612739.8333333,3405461.91666667,6574442.58333333,393119.583333333,26985763.9166667,0.615611249125067,0.126194756879327,0.243626328446196,0.0145676655494099,5268642
4,2020,1.4,22.8,10.33,16612739.8333333,3405461.91666667,6574442.58333333,393119.583333333,26985763.9166667,0.615611249125067,0.126194756879327,0.243626328446196,0.0145676655494099,5268642
5,2020,16,23.5,10.1,16612739.8333333,3405461.91666667,6574442.58333333,393119.583333333,26985763.9166667,0.615611249125067,0.126194756879327,0.243626328446196,0.0145676655494099,5268642
6,2020,81.7,24.9,9.62,16612739.8333333,3405461.91666667,6574442.58333333,393119.583333333,26985763.9166667,0.615611249125067,0.126194756879327,0.243626328446196,0.0145676655494099,5268642
7,2020,209.3,23.5,9.94,16612739.8333333,3405461.91666667,6574442.58333333,393119.583333333,26985763.9166667,0.615611249125067,0.126194756879327,0.243626328446196,0.0145676655494099,5268642
8,2020,254.4,23.1,9.35,16612739.8333333,3405461.91666667,6574442.58333333,393119.583333333,26985763.9166667,0.615611249125067,0.126194756879327,0.243626328446196,0.0145676655494099,5268642
9,2020,167.4,22.7,9.29,16612739.8333333,3405461.91666667,6574442.58333333,393119.583333333,26985763.9166667,0.615611249125067,0.126194756879327,0.243626328446196,0.0145676655494099,5268642
10,2020,24.5,22.2,9.3,16612739.8333333,3405461.91666667,6574442.58333333,393119.583333333,26985763.9166667,0.615611249125067,0.126194756879327,0.243626328446196,0.0145676655494099,5268642
11,2020,0.1,20.6,9.97,16612739.8333333,3405461.91666667,6574442.58333333,393119.583333333,26985763.9166667,0.615611249125067,0.126194756879327,0.243626328446196,0.0145676655494099,5268642
12,2020,12.9,17.9,9.46,16612739.8333333,3405461.91666667,6574442.58333333,393119.583333333,26985763.9166667,0.615611249125067,0.126194756879327,0.243626328446196,0.0145676655494099,5268642
1,2021,1.1,17.5,9.4,171838329.3,1514813.23,6712920.12,4139128.92,184205191.57,0.932863660548349,0.00822350997324825,0.0364426217458101,0.0224702077325931,5350000
2,2021,0.3,19.3,9.27,171838329.3,1514813.23,6712920.12,4139128.92,184205191.57,0.932863660548349,0.00822350997324825,0.0364426217458101,0.0224702077325931,5350000
3,2021,0,21.2,9.1,171838329.3,1514813.23,6712920.12,4139128.92,184205191.57,0.932863660548349,0.00822350997324825,0.0364426217458101,0.0224702077325931,5350000
4,2021,0.8,22.8,9.19,171838329.3,1514813.23,6712920.12,4139128.92,184205191.57,0.932863660548349,0.00822350997324825,0.0364426217458101,0.0224702077325931,5350000
