NPRODUCTO,CONCURSO,R4,BOLSA,FECHA
40,2896,41,515000000,42253
40,2895,38,509000000,42249
40,2894,26,503500000,42246
40,2893,32,498500000,42242
40,2892,24,493000000,42239
40,2891,28,488500000,42235
40,2890,26,483500000,42232
40,2889,28,478500000,42228
40,2888,35,473000000,42225
40,2887,33,468000000,42221
40,2886,29,462500000,42218
40,2885,27,458000000,42214
40,2884,35,452500000,42211
40,2883,32,448000000,42207
40,2882,30,442500000,42204
40,2881,48,437000000,42200
40,2880,32,432000000,42197
40,2879,32,428000000,42193
40,2878,17,423000000,42190
40,2877,29,418000000,42186
40,2876,30,412500000,42183
40,2875,38,408000000,42179
40,2874,25,404000000,42176
40,2873,17,400000000,42172
40,2872,22,394500000,42169
40,2871,36,390000000,42165
40,2870,45,384500000,42162
40,2869,35,379000000,42158
40,2868,33,374000000,42155
40,2867,38,370000000,42151
40,2866,34,364500000,42148
40,2865,19,361000000,42144
40,2864,29,357000000,42141
40,2863,36,353000000,42137
40,2862,40,348000000,42134
40,2861,36,344000000,42130
40,2860,35,339000000,42127
40,2859,44,334500000,42123
40,2858,37,329500000,42120
40,2857,24,325500000,42116
40,2856,24,320500000,42113
40,2855,18,316000000,42109
40,2854,31,311000000,42106
40,2853,42,306000000,42102
40,2852,15,302000000,42099
40,2851,32,297000000,42095
40,2850,38,293500000,42092
40,2849,43,289000000,42088
40,2848,41,283500000,42085
40,2847,49,279000000,42081
40,2846,29,274000000,42078
40,2845,23,270500000,42074
40,2844,24,265500000,42071
40,2843,31,261500000,42067
40,2842,35,256000000,42064
40,2841,47,252000000,42060
40,2840,44,247000000,42057
40,2839,34,242500000,42053
40,2838,20,238000000,42050
40,2837,45,233500000,42046
40,2836,24,229000000,42043
40,2835,27,225000000,42039
40,2834,32,220000000,42036
40,2833,32,216000000,42032
40,2832,41,211000000,42029
40,2831,28,207000000,42025
40,2830,41,203000000,42022
40,2829,40,198000000,42018
40,2828,30,193000000,42015
40,2827,25,189500000,42011
40,2826,46,184000000,42008
40,2825,38,179000000,42004
40,2824,36,174000000,42001
40,2823,43,169000000,41997
40,2822,43,165000000,41994
40,2821,33,162500000,41990
40,2820,32,158000000,41987
40,2819,30,154000000,41983
40,2818,44,149000000,41980
40,2817,35,145500000,41976
40,2816,38,140000000,41973
40,2815,23,137000000,41969
40,2814,26,133000000,41966
40,2813,23,129000000,41962
40,2812,34,123500000,41959
40,2811,36,119000000,41955
40,2810,46,112500000,41952
40,2809,34,107000000,41948
40,2808,31,101000000,41945
40,2807,28,98000000,41941
40,2806,29,93000000,41938
40,2805,22,90000000,41934
40,2804,28,85000000,41931
40,2803,21,81500000,41927
40,2802,29,76500000,41924
40,2801,50,72000000,41920
40,2800,37,67000000,41917
40,2799,28,62000000,41913
40,2798,42,57000000,41910
40,2797,29,53000000,41906
40,2796,48,47000000,41903
40,2795,27,43500000,41899
40,2794,37,38500000,41896
40,2793,43,36000000,41892
40,2792,22,35000000,41889
40,2791,37,34000000,41885
40,2790,52,33000000,41882
40,2789,48,32000000,41878
40,2788,41,31000000,41875
40,2787,24,30000000,41871
40,2786,30,247000000,41868
40,2785,35,243000000,41864
40,2784,38,237000000,41861
40,2783,39,231500000,41857
40,2782,19,226000000,41854
40,2781,17,222000000,41850
40,2780,8,216500000,41847
40,2779,42,212500000,41843
40,2778,22,208000000,41840
40,2777,31,203000000,41836
40,2776,32,198000000,41833
40,2775,34,194000000,41829
40,2774,36,188000000,41826
40,2773,42,183000000,41822
40,2772,34,178000000,41819
40,2771,40,174000000,41815
40,2770,51,168000000,41812
40,2769,33,165000000,41808
40,2768,51,159000000,41805
40,2767,27,156000000,41801
40,2766,34,151000000,41798
40,2765,28,146500000,41794
40,2764,45,140500000,41791
40,2763,22,137000000,41787
40,2762,43,131000000,41784
40,2761,36,127000000,41780
40,2760,40,121000000,41777
40,2759,50,116500000,41773
40,2758,46,111000000,41770
40,2757,48,106500000,41766
40,2756,34,101500000,41763
40,2755,31,97000000,41759
40,2754,35,91500000,41756
40,2753,39,87000000,41752
40,2752,22,83000000,41749
40,2751,30,79000000,41745
40,2750,25,75000000,41742
40,2749,36,71000000,41738
40,2748,42,66500000,41735
40,2747,51,61500000,41731
40,2746,38,57000000,41728
40,2745,29,53000000,41724
40,2744,19,49000000,41721
40,2743,31,44500000,41717
40,2742,44,39000000,41714
40,2741,21,37000000,41710
40,2740,44,36000000,41707
40,2739,24,35000000,41703
40,2738,21,34000000,41700
40,2737,29,33000000,41696
40,2736,39,32000000,41693
40,2735,30,31000000,41689
40,2734,27,30000000,41686
40,2733,24,181500000,41682
40,2732,28,176000000,41679
40,2731,26,172500000,41675
40,2730,23,168000000,41672
40,2729,44,164000000,41668
40,2728,31,158500000,41665
40,2727,16,155000000,41661
40,2726,26,151000000,41658
40,2725,32,146000000,41654
